id,name,label,cloud_id,tenantID,buildingID,floorID,zoneID,deviceProfileID,is_active,licence_status
237,Gateway_4AGXRBm4F5co,Gateway,f1b76c10-84cc-11f0-a19e-8f874a1c01d3,2,68,95,179,1,True,True
102,Gateway_Vzlr6KR6OmiJ,Gateway,2e6105a0-6c71-11f0-a19e-8f874a1c01d3,2,51,68,104,1,True,True
113,Gateway_aEkdVOEyIPP7,Gateway,6ad294b0-6c7e-11f0-a19e-8f874a1c01d3,2,52,71,113,1,True,True
209,Gateway_Cfmne7li7ZVK,Gateway,2b81f820-6d4e-11f0-a19e-8f874a1c01d3,2,63,89,157,1,True,True
2,People Counter_6R0wXsPfzuXM,People Counter,99012c60-50e1-11f0-a19e-8f874a1c01d3,2,2,3,3,2,True,True
41,People Counter_0iohextObDjz,People Counter,57755650-5e69-11f0-a19e-8f874a1c01d3,2,16,21,41,2,True,True
40,People Counter_uoOiB9182DzV,People Counter,77fc2b70-5e68-11f0-a19e-8f874a1c01d3,2,16,20,38,2,True,True
201,Gateway_GClDhUBYuZUA,Gateway,8a3d1bc0-6d2a-11f0-a19e-8f874a1c01d3,2,62,87,153,1,True,True
203,Gateway_DsXzopDjNcfm,Gateway,a6028980-6d2f-11f0-a19e-8f874a1c01d3,2,42,56,86,1,True,True
207,Gateway_iaaZx5n6o4qz,Gateway,0a351a10-6d32-11f0-a19e-8f874a1c01d3,2,40,53,75,1,True,True
35,Gateway_gxLQnYDl4iGR,Gateway,80051a90-5d8f-11f0-a19e-8f874a1c01d3,2,15,19,37,1,True,True
244,Gateway_yKYDDW9thDYP,Gateway,dddf3130-8e38-11f0-a19e-8f874a1c01d3,2,72,100,170,1,True,True
177,Gateway_4Q1zrP8KL2h1,Gateway,45f2fcb0-6c93-11f0-a19e-8f874a1c01d3,2,57,80,143,1,True,True
190,Gateway_UYmLkV3FxXWR,Gateway,02200af0-6d24-11f0-a19e-8f874a1c01d3,2,61,84,146,1,True,True
11,Occupancy_UrRGGx1yVrVx,Occupancy Sensor,2a8a87d0-510a-11f0-a19e-8f874a1c01d3,2,3,5,11,3,True,True
12,Air Quality Sensor_9nSx5N2jVJHw,Air Quality Sensor,cc2bfec0-510f-11f0-a19e-8f874a1c01d3,2,3,5,11,6,True,True
37,Air Quality_q9SEzQ03vuNT,Air Quality,a0c62560-5e45-11f0-a19e-8f874a1c01d3,2,3,5,5,6,True,True
8,Occupancy_dd6YYksRCt7R,Occupancy Sensor ,54f3cc50-5107-11f0-a19e-8f874a1c01d3,2,3,5,10,3,True,True
